front-end
1 (19, 0.11888383303954567)
2 (18, 0.10026541979778793)
3 (23, 0.09674043945160882)
4 (24, 0.09555368920213092)
5 (31, 0.056654083558925136)
6 (32, 0.05465516126208318)
7 (8, 0.03884193971727872)
8 (30, 0.03877639678983975)
9 (3, 0.03771312595192374)
10 (15, 0.03537030528395241)
11 (26, 0.032550217075055635)
12 (27, 0.030496319306854335)
13 (4, 0.02829792710115738)
14 (28, 0.026654285534382663)
15 (25, 0.026564260269835317)
16 (20, 0.025253458333719392)
17 (10, 0.019931788984532642)
18 (0, 0.01969048089384603)
19 (11, 0.018973529672529008)
20 (21, 0.013865776762191107)
21 (5, 0.013057718432922541)
22 (12, 0.009600797911017993)
23 (6, 0.006562639024863711)
24 (22, 0.006423194605321149)
25 (14, 0.006325677454907913)
26 (2, 0.006225132925216654)
27 (29, 0.005674030242191693)
28 (9, 0.00553511110068883)
29 (1, 0.00497265206273797)
30 (7, 0.00497265206273797)
31 (13, 0.00497265206273797)
32 (16, 0.00497265206273797)
33 (17, 0.00497265206273797)
front-end
1 (27, 0.07173392595933119)
2 (11, 0.06117231236462796)
3 (31, 0.05957478511535249)
4 (1, 0.05017051001105563)
5 (5, 0.04438045202185413)
6 (24, 0.04186652946652308)
7 (8, 0.037124627736902976)
8 (9, 0.03710619306528732)
9 (15, 0.037011905501269954)
10 (3, 0.03631696342118979)
11 (4, 0.03631696342118979)
12 (6, 0.03631696342118979)
13 (12, 0.03631696342118979)
14 (13, 0.03631696342118979)
15 (18, 0.03631696342118979)
16 (19, 0.03631696342118979)
17 (21, 0.03631696342118979)
18 (26, 0.03631696342118979)
19 (30, 0.03631696342118979)
20 (0, 0.03553658467179778)
21 (14, 0.02706391983174493)
22 (22, 0.02417576373918912)
23 (28, 0.022913097856325268)
24 (25, 0.018729869766215712)
25 (20, 0.016299440730680365)
26 (32, 0.008611113167876513)
27 (10, 0.007762724314242172)
28 (2, 0.006946258291193378)
29 (29, 0.006860174123918281)
30 (7, 0.00544754451317847)
31 (16, 0.00544754451317847)
32 (17, 0.00544754451317847)
33 (23, 0.00544754451317847)
front-end
1 (30, 0.13249380420694434)
2 (26, 0.09624349153876217)
3 (31, 0.08005669448934846)
4 (32, 0.07495258003641082)
5 (25, 0.04850378176230436)
6 (13, 0.04159597204925378)
7 (24, 0.04092288856229303)
8 (10, 0.038618852190587256)
9 (22, 0.037696899209309374)
10 (6, 0.03698611235299216)
11 (11, 0.036569984372560004)
12 (15, 0.03630960590436325)
13 (9, 0.03618601917529382)
14 (8, 0.036170712654902036)
15 (21, 0.03558555454714069)
16 (20, 0.03157026061352538)
17 (0, 0.023386252345998136)
18 (4, 0.02203281931476624)
19 (3, 0.015938096419469416)
20 (27, 0.012927008918297919)
21 (19, 0.010675167197223438)
22 (5, 0.008921750434349191)
23 (14, 0.007279398816082633)
24 (28, 0.007098039922283666)
25 (2, 0.006979850109492007)
26 (29, 0.006185348692224959)
27 (7, 0.006086055071394911)
28 (1, 0.005337833182071104)
29 (12, 0.005337833182071104)
30 (16, 0.005337833182071104)
31 (17, 0.005337833182071104)
32 (18, 0.005337833182071104)
33 (23, 0.005337833182071104)
front-end
1 (25, 0.1080390385317326)
2 (20, 0.08343234812462653)
3 (15, 0.08320513032723056)
4 (19, 0.08128461692564581)
5 (8, 0.05299759592965642)
6 (13, 0.05093174922895283)
7 (14, 0.04579203556700361)
8 (6, 0.04555114066797442)
9 (22, 0.04543853362228211)
10 (21, 0.04311192891529014)
11 (30, 0.04311192891529014)
12 (26, 0.032097044534008703)
13 (18, 0.03157068317967763)
14 (10, 0.02746124617754878)
15 (5, 0.02268533301335912)
16 (27, 0.021192981760777427)
17 (24, 0.020754184297769852)
18 (23, 0.01848923079700687)
19 (31, 0.018168137191295262)
20 (11, 0.015613906405084603)
21 (3, 0.015066060365367836)
22 (32, 0.011434361466290668)
23 (0, 0.010288962394568639)
24 (28, 0.009638677894503744)
25 (2, 0.0081982081104506)
26 (29, 0.00783797759031674)
27 (9, 0.007419122679237624)
28 (4, 0.006853888700583065)
29 (1, 0.006466789337293521)
30 (7, 0.006466789337293521)
31 (12, 0.006466789337293521)
32 (16, 0.006466789337293521)
33 (17, 0.006466789337293521)
front-end
1 (20, 0.0813596829466454)
2 (19, 0.07799932093715073)
3 (25, 0.07219776574510729)
4 (31, 0.06016575724176863)
5 (27, 0.05947886224130671)
6 (8, 0.05426070480513845)
7 (3, 0.05376491125177887)
8 (13, 0.051281947523933356)
9 (18, 0.04732398283145125)
10 (6, 0.04574890889723154)
11 (14, 0.04556613477392943)
12 (10, 0.04552826186326459)
13 (15, 0.04457622675124362)
14 (26, 0.04336840675210202)
15 (30, 0.04336840675210202)
16 (5, 0.02145022644044229)
17 (11, 0.01721512037513472)
18 (23, 0.016341176692488663)
19 (28, 0.010858654596975046)
20 (32, 0.010365671671663365)
21 (0, 0.00988918080145206)
22 (22, 0.008804103165209005)
23 (4, 0.008229064252922033)
24 (9, 0.00786484439510655)
25 (21, 0.00786067394316248)
26 (24, 0.007745926751883833)
27 (2, 0.007448160485690383)
28 (29, 0.0074116100496391816)
29 (1, 0.0065052610128153035)
30 (7, 0.0065052610128153035)
31 (12, 0.0065052610128153035)
32 (16, 0.0065052610128153035)
33 (17, 0.0065052610128153035)
front-end
1 (18, 0.07821816936249536)
2 (30, 0.0764755819325938)
3 (24, 0.07638680674013452)
4 (26, 0.07592923861816497)
5 (19, 0.07558177061274399)
6 (4, 0.07506322281259147)
7 (23, 0.07465698194486556)
