2023-03-14 12:45:56
0
1
front-end
1 (25, 0.09511663529892356)
2 (11, 0.07190316356108266)
3 (9, 0.0701717289638391)
4 (24, 0.06518387153799254)
5 (8, 0.0633454614587734)
6 (32, 0.05887812523251848)
7 (1, 0.05881402907852379)
8 (20, 0.05261864088228127)
9 (16, 0.047741608210684086)
10 (19, 0.04662599113135371)
11 (14, 0.043169608854438955)
12 (29, 0.04250110069928554)
13 (13, 0.04117579112454838)
14 (27, 0.03970980787814522)
15 (30, 0.03906822038183764)
16 (6, 0.03325858564830149)
17 (4, 0.016739204009940084)
18 (33, 0.01593982680585351)
19 (3, 0.01125973149999097)
20 (22, 0.007242686672775466)
21 (10, 0.007203952058595909)
22 (34, 0.007007053521743627)
23 (26, 0.006916084494180263)
24 (0, 0.006187777452006852)
25 (21, 0.005236665929840197)
26 (2, 0.005209581420019438)
27 (23, 0.0049618919970277)
28 (28, 0.004705747323902677)
29 (15, 0.0046508546317630475)
30 (5, 0.004576095373305082)
31 (7, 0.004576095373305082)
32 (12, 0.004576095373305082)
33 (17, 0.004576095373305082)
34 (18, 0.004576095373305082)
35 (31, 0.004576095373305082)
2
front-end
1 (8, 0.07497011718317426)
2 (11, 0.06932390666960879)
3 (6, 0.06893081788968641)
4 (9, 0.06738098585219085)
5 (22, 0.06700418111661816)
6 (20, 0.06201236037528253)
7 (19, 0.05653817169328912)
8 (16, 0.055147614678373036)
9 (13, 0.05192015708616646)
10 (1, 0.05134991479368782)
11 (14, 0.04584743297242056)
12 (33, 0.0404874241724324)
13 (25, 0.0393440960087598)
14 (24, 0.03772932845404715)
15 (29, 0.03710651984047523)
16 (32, 0.032930920317905656)
17 (10, 0.020483815822697076)
18 (27, 0.018347188437516503)
19 (23, 0.014466812796165717)
20 (3, 0.00982339499040723)
21 (26, 0.008980253002134954)
22 (0, 0.006690937185581405)
23 (4, 0.00627268098416648)
24 (2, 0.005878282784335388)
25 (34, 0.005872187839867133)
26 (30, 0.005175756141881529)
27 (21, 0.004778757422173808)
28 (5, 0.004660574937082487)
29 (12, 0.0045215290444710005)
30 (15, 0.0044617677115821736)
31 (28, 0.00441925465296177)
32 (7, 0.004285714285714286)
33 (17, 0.004285714285714286)
34 (18, 0.004285714285714286)
35 (31, 0.004285714285714286)
3
front-end
1 (32, 0.08192391138911448)
2 (8, 0.07631968883212341)
3 (3, 0.07433611630977156)
4 (9, 0.06826945734243983)
5 (6, 0.0620416481626945)
6 (11, 0.06192091463817042)
7 (24, 0.06190285906559756)
8 (33, 0.05779254334353427)
9 (22, 0.05321433431550921)
10 (4, 0.03607129822917625)
11 (25, 0.035462060679610954)
12 (19, 0.03467715744169166)
13 (21, 0.033487698753912935)
14 (34, 0.03191310970402613)
15 (10, 0.028850007287908118)
16 (23, 0.02552254342860593)
17 (13, 0.022320057970201042)
18 (14, 0.019805350105316977)
19 (27, 0.016996803202149694)
20 (15, 0.016615680330364778)
21 (26, 0.015741186775900518)
22 (29, 0.013815754350157857)
23 (0, 0.008953764892520675)
24 (2, 0.008245555395662487)
25 (16, 0.00535786916879352)
26 (31, 0.005304440935660966)
27 (1, 0.005059618417421912)
28 (5, 0.005000236620726195)
29 (12, 0.004915063848386112)
30 (20, 0.004906877494788952)
31 (30, 0.004880475181758464)
32 (28, 0.004817715224381022)
33 (7, 0.004519400387307236)
34 (17, 0.004519400387307236)
35 (18, 0.004519400387307236)
4
front-end
1 (9, 0.08096107680090579)
2 (8, 0.07803404861010649)
3 (11, 0.07599055161200753)
4 (33, 0.0720112709759321)
5 (22, 0.07103670277504345)
6 (6, 0.06639892359002236)
7 (24, 0.06517114957831259)
8 (32, 0.06189252072101765)
9 (1, 0.05725071824476825)
10 (16, 0.05181348280002696)
11 (25, 0.04151452445351732)
12 (10, 0.03430424106356856)
13 (19, 0.033908942556635215)
14 (30, 0.03315067433990809)
15 (29, 0.029019194853320447)
16 (26, 0.015925739644484398)
17 (23, 0.014372044019329774)
18 (13, 0.012114445155809415)
19 (2, 0.011061866545965561)
20 (0, 0.010526549955527325)
21 (14, 0.008601775258104299)
22 (3, 0.008552921028655347)
23 (34, 0.007759322917498422)
24 (5, 0.006217688237541273)
25 (21, 0.005821742615523959)
26 (12, 0.005165451254325087)
27 (28, 0.0049281087200298635)
28 (20, 0.0048794209898781835)
29 (31, 0.004746748856242468)
30 (4, 0.004582728411861225)
31 (27, 0.0045635189346415585)
32 (15, 0.004499329000387258)
33 (7, 0.004407525159700618)
34 (17, 0.004407525159700618)
35 (18, 0.004407525159700618)
5
front-end
1 (11, 0.08197663317870482)
2 (16, 0.07448458337511166)
3 (32, 0.07180985149744708)
4 (30, 0.06975690286396154)
5 (29, 0.06932362708045349)
6 (13, 0.06506813344665936)
7 (14, 0.060980529771634644)
