2023-03-14 16:25:47
0
1
front-end
1 (5, 0.06767143756445838)
2 (34, 0.05864566424262552)
3 (32, 0.049191595102707486)
4 (15, 0.04863937724109748)
5 (24, 0.04593094120942643)
6 (29, 0.045180255218830234)
7 (27, 0.044161172717163126)
8 (23, 0.04322154372994627)
9 (16, 0.039843491509645834)
10 (6, 0.039262419592850706)
11 (12, 0.038934989370838044)
12 (14, 0.038670423597558685)
13 (13, 0.038626403671631795)
14 (3, 0.03749466964260742)
15 (4, 0.03749466964260742)
16 (9, 0.03749466964260742)
17 (10, 0.03749466964260742)
18 (19, 0.03749466964260742)
19 (20, 0.03749466964260742)
20 (22, 0.03749466964260742)
21 (0, 0.022644687028911162)
22 (35, 0.01843492300808967)
23 (7, 0.011165636620940538)
24 (26, 0.01034765587569157)
25 (8, 0.009435497706758908)
26 (21, 0.007960328555615785)
27 (30, 0.006698636065596321)
28 (25, 0.006599381422038277)
29 (11, 0.006598002530258148)
30 (31, 0.005927646240720962)
31 (1, 0.005624200446391114)
32 (2, 0.005624200446391114)
33 (17, 0.005624200446391114)
34 (18, 0.005624200446391114)
35 (28, 0.005624200446391114)
36 (33, 0.005624200446391114)
2
front-end
1 (32, 0.16224713374100325)
2 (22, 0.07526625626692661)
3 (9, 0.06599301458843167)
4 (29, 0.060359206319912026)
5 (10, 0.060131320217292665)
6 (16, 0.053695981406245215)
7 (34, 0.04445704812301518)
8 (13, 0.04388439273221885)
9 (15, 0.043554775481197155)
10 (12, 0.04328566025467362)
11 (24, 0.042594054441688955)
12 (35, 0.03675186626519182)
13 (27, 0.03639399192500543)
14 (5, 0.03510063955334739)
15 (6, 0.03358161258466179)
16 (0, 0.026594633891033528)
17 (3, 0.012776737132789857)
18 (19, 0.011704730472397147)
19 (26, 0.010840911681774291)
20 (30, 0.008141167015296439)
21 (14, 0.00733769652535749)
22 (21, 0.007121148186293547)
23 (25, 0.006796852833817817)
24 (4, 0.006417249675307441)
25 (7, 0.006106261890969749)
26 (11, 0.006053427617951436)
27 (23, 0.005735367709138256)
28 (1, 0.005616612196150718)
29 (2, 0.005366499517224844)
30 (20, 0.005316858039274812)
31 (17, 0.005309281520126598)
32 (8, 0.005093522038856899)
33 (18, 0.005093522038856899)
34 (28, 0.005093522038856899)
35 (31, 0.005093522038856899)
36 (33, 0.005093522038856899)
3
front-end
1 (15, 0.09366501476316581)
2 (26, 0.0566732797038544)
3 (34, 0.044964854270958664)
4 (5, 0.04361294607842318)
5 (23, 0.03973145265456075)
6 (11, 0.036586672802397927)
7 (3, 0.03553839022397714)
8 (4, 0.03553839022397714)
