2023-03-14 09:43:03
0
1
front-end
1 (26, 0.1279702911799578)
2 (14, 0.08161022336709033)
3 (0, 0.0769618362170207)
4 (21, 0.06994791487594233)
5 (20, 0.06893625444036684)
6 (18, 0.0634636543898521)
7 (5, 0.060288639037002635)
8 (25, 0.05702703640512739)
9 (19, 0.05684270024035525)
10 (22, 0.03801236465810989)
11 (2, 0.0369191403633692)
12 (30, 0.03117529166171524)
13 (15, 0.024177582158902113)
14 (28, 0.019135195431450487)
15 (27, 0.01888510048671809)
16 (31, 0.01832127315946861)
17 (23, 0.01794152627124217)
18 (12, 0.017517262165551377)
19 (13, 0.015903628076899164)
20 (8, 0.012359871237082997)
21 (9, 0.011124731361411318)
22 (3, 0.009751710551984118)
23 (10, 0.006939647291594995)
24 (6, 0.0068943194907965044)
25 (11, 0.006765656393633586)
26 (29, 0.006018353153185652)
27 (32, 0.005980513579317884)
28 (4, 0.005739729539922438)
29 (1, 0.00547771056298579)
30 (7, 0.00547771056298579)
31 (16, 0.00547771056298579)
32 (17, 0.00547771056298579)
33 (24, 0.00547771056298579)
2
front-end
1 (2, 0.125011791924159)
2 (14, 0.0932455438537073)
3 (27, 0.0804292542330949)
4 (21, 0.06369355737270724)
5 (26, 0.049844516979519304)
6 (12, 0.04483141479817869)
7 (28, 0.04134008342742969)
8 (22, 0.040631442077082684)
9 (6, 0.03821934842551384)
10 (11, 0.0381475776298623)
11 (8, 0.03433450502520512)
12 (18, 0.03258689052605314)
13 (3, 0.03191127932253222)
14 (9, 0.027287642165673535)
15 (4, 0.02522863727326638)
16 (0, 0.024730197117700674)
17 (30, 0.024620018069864785)
18 (20, 0.024521621843803413)
19 (25, 0.024045253514660584)
20 (5, 0.018607749511609473)
21 (31, 0.01855238013873605)
22 (15, 0.01768940167357802)
23 (19, 0.015190206795837909)
24 (23, 0.0116764682914189)
25 (10, 0.0071407426053852995)
26 (13, 0.006627383842877474)
27 (29, 0.006160874031666236)
28 (32, 0.006038404558237986)
29 (1, 0.005531162594127582)
30 (7, 0.005531162594127582)
31 (16, 0.005531162594127582)
32 (17, 0.005531162594127582)
33 (24, 0.005531162594127582)
3
front-end
1 (21, 0.08666553479619368)
2 (19, 0.08176961357022905)
3 (15, 0.08162759136195873)
4 (18, 0.0809115806134532)
5 (26, 0.08032692782236237)
6 (13, 0.06224525482240667)
7 (6, 0.06036366286024867)
8 (12, 0.057398437956979034)
9 (23, 0.05643373219326655)
10 (30, 0.05527978434457244)
11 (8, 0.05033308706092188)
12 (9, 0.04908282829480144)
13 (24, 0.03549765385634202)
14 (27, 0.029716473927642043)
15 (31, 0.013673046450534384)
16 (3, 0.011458671110691638)
17 (0, 0.00957896488578733)
18 (28, 0.009293119979926852)
19 (32, 0.007914207491127754)
20 (14, 0.007763103001938898)
21 (4, 0.007054180652578271)
22 (25, 0.006928345668457328)
23 (11, 0.006428920750517057)
24 (20, 0.0061585695260142435)
25 (2, 0.005632026643808683)
26 (22, 0.005552691313598034)
27 (5, 0.005241956799759199)
28 (10, 0.005228781205534016)
29 (17, 0.0052128708638871715)
30 (29, 0.004978449941488137)
31 (1, 0.004749976744324367)
32 (7, 0.004749976744324367)
33 (16, 0.004749976744324367)
4
front-end
1 (6, 0.08291293012453586)
2 (13, 0.07861344419408851)
3 (12, 0.07762723512214288)
4 (19, 0.07687140280594658)
5 (23, 0.07276203984989608)
6 (18, 0.0698196711409054)
7 (15, 0.06653230115558595)
8 (11, 0.06611110807104165)
9 (30, 0.053176148696272824)
10 (24, 0.05027259931512143)
11 (26, 0.04489101862528007)
12 (9, 0.04431338800172252)
13 (8, 0.039253330131561646)
14 (21, 0.026304331862351513)
15 (28, 0.018239579065974523)
16 (4, 0.01744254333737333)
17 (32, 0.010608822248353852)
18 (3, 0.010564926525049667)
19 (27, 0.010497397013356821)
20 (0, 0.008710718161663335)
21 (14, 0.007999874001852057)
22 (31, 0.007656701163919315)
23 (22, 0.0069497845460824055)
24 (25, 0.006890927380209311)
25 (20, 0.006053973248196793)
26 (2, 0.0054618371561454375)
27 (17, 0.005304754263073594)
28 (10, 0.005009473787603988)
29 (29, 0.004780796211012526)
30 (5, 0.0047305791573166315)
31 (1, 0.004545454545454547)
32 (7, 0.004545454545454547)
33 (16, 0.004545454545454547)
5
front-end
1 (2, 0.11424826298700463)
2 (18, 0.08858510154071879)
3 (20, 0.07084772818112633)
4 (23, 0.061291148316389224)
5 (14, 0.05436260211716084)
6 (31, 0.053382654313592744)
7 (19, 0.046720757294598764)
8 (30, 0.04545434825690374)
9 (25, 0.0409990364979238)
10 (22, 0.0403312827205751)
11 (11, 0.039856207317493154)
12 (26, 0.03984572679742378)
13 (6, 0.039212778049805136)
14 (21, 0.038168170986962)
15 (27, 0.02897549474605173)
16 (0, 0.028798330609582957)
17 (5, 0.02121653114737834)
18 (28, 0.020481891018690485)
19 (12, 0.013959994042595292)
20 (24, 0.013540762967519868)
21 (8, 0.013035590266994267)
22 (9, 0.011825600089566849)
23 (3, 0.01045671533060334)
24 (10, 0.008333723475881245)
25 (29, 0.007026797925116895)
26 (13, 0.006700091687316153)
27 (32, 0.0065439239202076055)
28 (17, 0.006354862024724777)
29 (4, 0.006326358358512716)
30 (1, 0.0057793817528948525)
31 (7, 0.0057793817528948525)
32 (15, 0.0057793817528948525)
33 (16, 0.0057793817528948525)
6
front-end
1 (26, 0.08949095574143046)
2 (18, 0.08795519361951215)
3 (19, 0.08473008134179334)
4 (21, 0.08115313797155489)
5 (15, 0.07957593971752455)
6 (30, 0.07870043262435801)
7 (23, 0.05837856410625674)
8 (13, 0.057335249488700446)
9 (24, 0.05618359106520821)
10 (12, 0.053079873029428744)
11 (6, 0.047993095978828816)
12 (8, 0.03752106399757181)
13 (9, 0.03483781846611839)
14 (27, 0.018689487429387953)
